test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_2_5.txt,32,10,3,Linear,10,2.10417,12,4.71875,14,4.6875,14,7.40625,45,4.90625,10,3.625
test_2_5.txt,32,10,3,Cuckoo,2,1.32292,2,2,6,3.53125,2,1.52083,89,9.46875,2,1.40625
test_2_5.txt,32,10,3,Coalesced,4,1.73958,4,1.41667,26,5.79167,5,1.875,7,3.1875,5,2.0625
test_2_5.txt,32,9,3.5,Chained,8,4,8,4.5625,9,5.55208,9,5.08333,8,3.96875,6,3.5
test_2_5.txt,32,9,3.5,Linear,24,3.51042,33,15.5208,30,14.2396,33,18.3229,44,6.15625,19,5.28125
test_2_5.txt,32,9,3.5,Cuckoo,2,1.32292,2,2,6,3.53125,2,1.52083,89,9.46875,2,1.40625
test_2_5.txt,32,9,3.5,Coalesced,3,1.52083,3,1.48958,23,6.44792,4,1.82292,7,2.90625,5,1.9375
test_2_5.txt,32,8,4,Chained,8,3.88542,8,5.125,9,5.96875,9,4.76042,8,3.8125,7,3.65625
test_2_5.txt,32,8,4,Linear,30,3.59375,32,32,32,15.7188,59,34.4896,40,7,35,6.65625
test_2_5.txt,32,8,4,Cuckoo,2,1.59375,2,2,10,4.19792,2,1.54167,81,10.0938,2,1.53125
test_2_5.txt,32,8,4,Coalesced,3,1.40625,3,1.20833,12,2.46875,4,1.64583,8,3.375,5,1.8125
test_2_6.txt,64,640,0.1,Chained,3,2.02083,2,1.08333,3,2.09896,4,3.02083,3,2.01562,3,3
test_2_6.txt,64,640,0.1,Linear,2,1.02083,2,1.08333,2,1.09896,3,2.06771,2,1.01562,3,2.04688
test_2_6.txt,64,640,0.1,Cuckoo,2,1.13021,2,2,5,3.18229,2,1.19271,4,3.09375,2,1.21875
test_2_6.txt,64,640,0.1,Coalesced,2,1.08854,2,1.01042,4,1.1875,4,1.3125,4,1.26562,4,1.26562
test_2_6.txt,64,320,0.2,Chained,3,2.05729,3,1.1875,4,2.1875,4,3.10938,3,2.09375,4,3.07812
test_2_6.txt,64,320,0.2,Linear,2,1.05729,5,1.28125,4,1.26562,5,2.45312,2,1.09375,4,2.20312
test_2_6.txt,64,320,0.2,Cuckoo,2,1.27083,2,2,8,3.35938,2,1.25,4,3.17188,2,1.34375
test_2_6.txt,64,320,0.2,Coalesced,2,1.1875,3,1.04688,15,1.74479,4,1.40625,4,1.39062,4,1.39062
test_2_6.txt,64,213,0.3,Chained,4,2.1875,3,1.26562,5,2.24479,5,3.14062,4,2.15625,4,3.09375
test_2_6.txt,64,213,0.3,Linear,3,1.1875,5,1.45312,5,1.36979,5,2.65104,3,1.15625,4,2.26562
test_2_6.txt,64,213,0.3,Cuckoo,2,1.44792,2,2,9,3.6875,2,1.30729,6,3.21875,2,1.5
test_2_6.txt,64,213,0.3,Coalesced,2,1.19792,2,1.04167,11,1.78125,3,1.19792,3,1.28125,3,1.28125
test_2_6.txt,64,160,0.4,Chained,4,2.16667,4,1.35417,5,2.33854,5,3.21875,4,2.21875,4,3.15625
test_2_6.txt,64,160,0.4,Linear,5,1.28125,11,2.13542,10,1.88021,11,3.44271,4,1.29688,6,2.59375
test_2_6.txt,64,160,0.4,Cuckoo,2,1.39062,2,2,10,3.90625,2,1.45312,6,3.35938,2,1.46875
test_2_6.txt,64,160,0.4,Coalesced,3,1.25,3,1.09375,14,2.21875,4,1.42188,4,1.39062,5,1.39062
test_2_6.txt,64,128,0.5,Chained,5,2.29167,3,1.44792,6,2.4375,6,3.21354,5,2.23438,4,3.0625
test_2_6.txt,64,128,0.5,Linear,5,1.41667,8,2.03646,9,2.08854,9,4.05729,5,1.32812,8,2.64062
test_2_6.txt,64,128,0.5,Cuckoo,2,1.38021,2,2,230,5.22396,2,1.32292,22,3.95312,2,1.35938
test_2_6.txt,64,128,0.5,Coalesced,5,1.22917,5,1.08854,14,2.39062,6,1.49479,6,1.5625,7,1.5625
test_2_6.txt,64,106,0.6,Chained,4,2.3125,4,1.61979,5,2.65625,5,3.26562,4,2.28125,5,3.1875
test_2_6.txt,64,106,0.6,Linear,7,1.60938,11,2.86458,11,2.9375,11,4.40625,7,1.60938,8,3
test_2_6.txt,64,106,0.6,Cuckoo,2,1.40104,2,2,12,3.76042,2,1.39583,200,6.71875,2,1.375
test_2_6.txt,64,106,0.6,Coalesced,3,1.48958,3,1.29167,24,3.93229,4,1.56771,5,1.70312,5,1.6875
test_2_6.txt,64,91,0.7,Chained,4,2.44792,4,1.82812,5,2.73958,5,3.33854,4,2.375,5,3.1875
test_2_6.txt,64,91,0.7,Linear,8,1.94792,12,3.94271,11,3.55729,12,5.61458,7,1.78125,10,3.3125
test_2_6.txt,64,91,0.7,Cuckoo,2,1.47917,2,2,8,3.64583,2,1.45833,181,6.40625,2,1.40625
test_2_6.txt,64,91,0.7,Coalesced,3,1.40104,3,1.28646,30,5.84896,4,1.58854,8,1.78125,5,1.65625
test_2_6.txt,64,80,0.8,Chained,5,2.44271,5,1.80208,6,2.67708,6,3.47396,5,2.46875,5,3.3125
test_2_6.txt,64,80,0.8,Linear,40,3.69792,41,13.1823,40,10.5573,41,16.724,32,3.39062,29,5.10938
test_2_6.txt,64,80,0.8,Cuckoo,2,1.39062,2,2,10,3.90625,2,1.44792,187,6.98438,2,1.46875
test_2_6.txt,64,80,0.8,Coalesced,4,1.48438,5,1.36979,41,7.4375,5,1.77604,8,2.125,7,1.89062
test_2_6.txt,64,71,0.9,Chained,5,2.44271,5,1.84375,6,2.83333,6,3.47396,5,2.46875,5,3.23438
test_2_6.txt,64,71,0.9,Linear,31,3.3125,57,22.3854,55,16.8594,57,30.1042,29,3.64062,48,6.1875
test_2_6.txt,64,71,0.9,Cuckoo,2,1.5,2,2,11,4.33854,2,1.52604,127,5.5,2,1.5
test_2_6.txt,64,71,0.9,Coalesced,7,1.90625,8,1.78646,55,12.7135,7,2.03125,9,2.70312,7,2.35938
test_2_6.txt,64,64,1,Chained,6,2.49479,6,1.92708,7,2.90104,7,3.61458,6,2.53125,5,3.26562
test_2_6.txt,64,64,1,Linear,42,4.03125,64,64,64,32.349,105,67.25,21,3.95312,70,7.34375
test_2_6.txt,64,64,1,Cuckoo,2,1.38542,2,2,230,5.22396,2,1.32812,144,6.82812,2,1.35938
test_2_6.txt,64,64,1,Coalesced,5,1.21875,5,1.08854,16,2.33333,6,1.59375,11,2.59375,6,1.5625
test_2_6.txt,64,42,1.5,Chained,5,2.64583,5,2.58854,6,3.61458,6,3.54688,5,2.64062,5,3.29688
test_2_6.txt,64,42,1.5,Linear,16,2.29688,20,5.34896,19,5.69271,20,8.14583,101,6.73438,14,4.03125
test_2_6.txt,64,42,1.5,Cuckoo,2,1.31771,2,2,267,5,2,1.29167,188,8.82812,2,1.375
test_2_6.txt,64,42,1.5,Coalesced,3,1.5,4,1.43229,38,8.95833,4,1.72917,8,2.82812,5,1.8125
test_2_6.txt,64,32,2,Chained,6,2.92708,6,2.95833,7,3.83854,7,4.03125,6,3.01562,6,3.53125
test_2_6.txt,64,32,2,Linear,42,4.03646,64,64,64,32.349,105,67.2396,82,6.39062,70,7.34375
test_2_6.txt,64,32,2,Cuckoo,2,1.38542,2,2,230,5.22396,2,1.32812,144,8.51562,2,1.35938
test_2_6.txt,64,32,2,Coalesced,3,1.38542,3,1.22917,21,3.48958,4,1.58854,9,3.17188,5,1.65625
test_2_6.txt,64,25,2.5,Chained,8,3.39583,8,3.67188,9,4.57292,9,4.33854,8,3.48438,8,3.8125
test_2_6.txt,64,25,2.5,Linear,10,1.9375,21,4.25,21,3.85938,21,7.30208,131,7.09375,21,3.54688
test_2_6.txt,64,25,2.5,Cuckoo,2,1.41146,2,2,208,4.89583,2,1.38542,130,8.01562,2,1.375
test_2_6.txt,64,25,2.5,Coalesced,3,1.29167,2,1.24479,24,5.25,4,1.47917,10,3.01562,4,1.60938
test_2_6.txt,64,21,3,Chained,6,3.42188,6,4.23958,7,5.06771,7,4.18229,6,3.3125,6,3.71875
test_2_6.txt,64,21,3,Linear,16,2.29688,20,5.34896,19,5.69271,20,8.14583,101,7.95312,14,4.03125
test_2_6.txt,64,21,3,Cuckoo,2,1.36458,2,2,264,5.34896,2,1.40104,204,9.625,2,1.35938
test_2_6.txt,64,21,3,Coalesced,3,1.51562,4,1.43229,38,8.71354,4,1.70312,8,3.17188,5,1.8125
test_2_6.txt,64,18,3.5,Chained,7,3.53646,7,4.375,8,5.53125,8,4.41667,7,3.5625,7,3.78125
test_2_6.txt,64,18,3.5,Linear,25,2.5,49,17.4479,48,14.5365,49,22.5,83,7.3125,39,5.09375
test_2_6.txt,64,18,3.5,Cuckoo,2,1.5,2,2,11,4.33854,2,1.52604,127,7.71875,2,1.5
test_2_6.txt,64,18,3.5,Coalesced,3,1.48958,3,1.42708,60,18.1094,4,1.68229,14,3.1875,5,1.8125
test_2_6.txt,64,16,4,Chained,8,4.07292,8,4.95312,9,5.98438,9,5.05208,8,4,8,4.0625
test_2_6.txt,64,16,4,Linear,42,4.03125,64,64,64,32.349,105,67.2292,82,7.51562,70,7.34375
test_2_6.txt,64,16,4,Cuckoo,2,1.38542,2,2,230,5.22396,2,1.32812,144,9.40625,2,1.35938
test_2_6.txt,64,16,4,Coalesced,3,1.21875,3,1.11458,14,2.48958,4,1.38021,10,3.40625,5,1.46875
test_2_7.txt,128,1280,0.1,Chained,3,2.03646,3,1.09375,4,2.11198,4,3.0651,3,2.05469,4,3.00781
test_2_7.txt,128,1280,0.1,Linear,2,1.03646,4,1.10417,3,1.125,4,2.20833,2,1.0625,3,2.09375
test_2_7.txt,128,1280,0.1,Cuckoo,2,1.16146,2,2,5,3.17448,2,1.19271,4,3.09375,2,1.24219
test_2_7.txt,128,1280,0.1,Coalesced,3,1.09115,3,1.00781,10,1.26302,4,1.15104,4,1.17188,4,1.17188
test_2_7.txt,128,640,0.2,Chained,3,2.07552,3,1.19271,4,2.19531,4,3.10938,3,2.09375,4,3.04688
test_2_7.txt,128,640,0.2,Linear,2,1.08073,5,1.2474,4,1.23958,5,2.44792,3,1.10938,5,2.21875
test_2_7.txt,128,640,0.2,Cuckoo,2,1.27344,2,2,6,3.33594,2,1.32812,4,3.14844,2,1.36719
test_2_7.txt,128,640,0.2,Coalesced,3,1.15885,3,1.03646,17,1.55469,4,1.26042,4,1.29688,4,1.29688
test_2_7.txt,128,426,0.3,Chained,4,2.14062,5,1.26823,5,2.30208,6,3.22917,5,2.1875,4,3.07812
test_2_7.txt,128,426,0.3,Linear,4,1.1875,7,1.46094,7,1.5651,7,2.89844,5,1.25,6,2.42188
test_2_7.txt,128,426,0.3,Cuckoo,2,1.39062,2,2,10,3.61979,2,1.41667,6,3.33594,2,1.41406
